id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-02-05T12:29:27;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-02-05T07:29:47;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-02-05T09:38:49;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-02-05T02:23:14;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-02-05T17:46:20;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-02-05T05:08:26;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-02-05T08:04:58;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-02-04T22:07:37;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-02-05T00:57:13;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-02-05T01:39:38;601;74069
